["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","BOTTOM"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(11, 3)
1.8737028625000000e+14 7.7497212127734154e-04 -2.4089019702463563e+00
1.8861942149166666e+14 6.9160231646493687e-04 -3.1032938441063935e+00
1.8986855673333334e+14 8.1503583827310683e-04 -2.7361006399125531e+00
1.9111769197500000e+14 4.9343532077779112e-04 -1.7981241524723186e+00
1.9236682721666666e+14 3.0775005917767982e-04 2.5394791930130672e-01
1.9361596245833331e+14 4.1293291309071477e-04 1.8232523119202513e+00
1.9486509770000000e+14 3.7767707640934888e-04 3.5611366603044181e+00
1.9611423294166666e+14 7.1126840414768356e-04 5.1631896347577779e+00
1.9736336818333331e+14 1.0194429545760629e-03 6.0667840425162840e+00
1.9861250342500000e+14 8.7094854322207146e-04 6.7199027753587321e+00
1.9986163866666666e+14 3.1798173700868981e-04 6.7947103649231622e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(11, 3)
1.8737028625000000e+14 9.2814153509644748e-01 8.2263878734743751e-02
1.8861942149166666e+14 9.3322349074941391e-01 1.3648753590524223e+00
1.8986855673333334e+14 9.3790352378416209e-01 2.6466945013954297e+00
1.9111769197500000e+14 9.4219941952598163e-01 3.9277024593047649e+00
1.9236682721666666e+14 9.4613676887639819e-01 5.2078738019329629e+00
1.9361596245833331e+14 9.4975567268340655e-01 6.4871796114925591e+00
1.9486509770000000e+14 9.5309079073578451e-01 7.7655973095475570e+00
1.9611423294166666e+14 9.5615869374374618e-01 9.0431032695859290e+00
1.9736336818333331e+14 9.5897252741408756e-01 1.0319671766614308e+01
1.9861250342500000e+14 9.6155181758103980e-01 1.1595289730256573e+01
1.9986163866666666e+14 9.6391229752694474e-01 1.2869956305943099e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(11, 3)
1.8737028625000000e+14 1.1028692816014956e-03 -6.8608464833595328e-01
1.8861942149166666e+14 1.1245229365322883e-03 6.7713975663280179e-01
1.8986855673333334e+14 1.0557290038270225e-03 2.0542211802986645e+00
1.9111769197500000e+14 8.4248109106533188e-04 3.4554573792863286e+00
1.9236682721666666e+14 5.0562637944769583e-04 5.0134738834353278e+00
1.9361596245833331e+14 2.7266370311257004e-04 7.4426070667877244e+00
1.9486509770000000e+14 5.5838458125035567e-04 9.7344429935341950e+00
1.9611423294166666e+14 9.3048315984577048e-04 1.1280337969299724e+01
1.9736336818333331e+14 1.2105826309910359e-03 1.2685049404147462e+01
1.9861250342500000e+14 1.3459185446005498e-03 1.4047117824683909e+01
1.9986163866666666e+14 1.3319727099729553e-03 1.5393595962014352e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(11, 3)
1.8737028625000000e+14 3.6669396308041941e-01 -2.2702180949510783e-01
1.8861942149166666e+14 3.5468104838422326e-01 1.0367142968459118e+00
1.8986855673333334e+14 3.4308587637684562e-01 2.2996751088673508e+00
1.9111769197500000e+14 3.3190495165959799e-01 3.5617961021157507e+00
1.9236682721666666e+14 3.2112929888013525e-01 4.8230332140489427e+00
1.9361596245833331e+14 3.1073856787812676e-01 6.0833597892733122e+00
1.9486509770000000e+14 3.0071147921994712e-01 7.3427401761306470e+00
1.9611423294166666e+14 2.9103441730190627e-01 8.6011537755018459e+00
1.9736336818333331e+14 2.8169219184478372e-01 9.8586138043397433e+00
1.9861250342500000e+14 2.7266727786390921e-01 1.1115133767608253e+01
1.9986163866666666e+14 2.6395276655882211e-01 1.2370723454609047e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(11, 3)
1.8737028625000000e+14 9.2801298519950837e-01 8.2108732191679648e-02
1.8861942149166666e+14 9.3312504047497358e-01 1.3647457315218974e+00
1.8986855673333334e+14 9.3783048201118824e-01 2.6465878170252513e+00
1.9111769197500000e+14 9.4214690256177436e-01 3.9276152462401619e+00
1.9236682721666666e+14 9.4609918954751826e-01 5.2078030322204238e+00
1.9361596245833331e+14 9.4972654825303449e-01 6.4871228264208618e+00
